Date,Open,High,Low,Close,Adj Close,Volume
2019-03-28,7.426400,7.431300,7.415200,7.425300,7.425300,0
2019-03-29,7.428700,7.437700,7.420000,7.428000,7.428000,0
2019-04-01,7.433400,7.442300,7.419900,7.433400,7.433400,0
2019-04-02,7.425000,7.441700,7.423300,7.425000,7.425000,0
2019-04-03,7.428700,7.431000,7.424000,7.430000,7.430000,0
2019-04-04,7.425000,7.434000,7.424000,7.428700,7.428700,0
2019-04-05,7.424700,7.431400,7.418300,7.429000,7.429000,0
2019-04-08,7.432900,7.433300,7.417000,7.432900,7.432900,0
2019-04-09,7.430700,7.435900,7.427300,7.430700,7.430700,0
2019-04-10,7.429300,7.434900,7.419400,7.428700,7.428700,0
2019-04-11,7.429000,7.439000,7.422300,7.425900,7.425900,0
2019-04-12,7.432200,7.435300,7.427300,7.432200,7.432200,0
2019-04-15,7.431900,7.438400,7.429000,7.431900,7.431900,0
2019-04-16,7.436600,7.438200,7.429400,7.436600,7.436600,0
2019-04-17,7.434300,7.441300,7.428700,7.434300,7.434300,0
2019-04-18,7.435300,7.438300,7.431000,7.435300,7.435300,0
2019-04-19,7.438000,7.438000,7.438000,7.438000,7.438000,0
2019-04-22,7.438000,7.438000,7.438000,7.438000,7.438000,0
2019-04-23,7.285000,7.431300,7.285000,7.438000,7.438000,0
2019-04-24,7.421900,7.424100,7.416600,7.423300,7.423300,0
2019-04-25,7.418000,7.421400,7.413000,7.421300,7.421300,0
2019-04-26,7.416000,7.417300,7.411300,7.416000,7.416000,0
2019-04-29,7.415400,7.425000,7.412700,7.266500,7.266500,0
2019-04-30,7.415000,7.418000,7.408700,7.415000,7.415000,0
2019-05-01,7.411000,7.411000,7.411000,7.411000,7.411000,0
2019-05-02,7.411000,7.415400,7.410400,7.411000,7.411000,0
2019-05-03,7.413300,7.415700,7.409000,7.413300,7.413300,0
2019-05-06,7.413300,7.413700,7.408300,7.413300,7.413300,0
2019-05-07,7.409300,7.412000,7.405700,7.409300,7.409300,0
2019-05-08,7.407000,7.410800,7.404300,7.407000,7.407000,0
2019-05-09,7.408600,7.410300,7.404000,7.408600,7.408600,0
2019-05-10,7.405300,7.410200,7.377000,7.405300,7.405300,0
2019-05-13,7.387300,7.409000,7.387300,7.387300,7.387300,0
2019-05-14,7.405700,7.411700,7.253000,7.405700,7.405700,0
2019-05-15,7.411100,7.423300,7.409300,7.411100,7.411100,0
2019-05-16,7.422900,7.423500,7.417600,7.421500,7.421500,0
2019-05-17,7.423200,7.430500,7.418300,7.423000,7.423000,0
2019-05-20,7.426200,7.429000,7.420300,7.426200,7.426200,0
2019-05-21,7.427900,7.432200,7.422000,7.427900,7.427900,0
2019-05-22,7.425200,7.427800,7.421300,7.425200,7.425200,0
2019-05-23,7.425600,7.427500,7.422700,7.425600,7.425600,0
2019-05-24,7.423700,7.428900,7.418200,7.423700,7.423700,0
2019-05-27,7.424700,7.426700,7.419000,7.279300,7.279300,0
2019-05-28,7.420000,7.426300,7.418000,7.420000,7.420000,0
2019-05-29,7.424000,7.426300,7.418300,7.424000,7.424000,0
2019-05-30,7.420000,7.430000,7.416400,7.419400,7.419400,0
2019-05-31,7.418700,7.420400,7.414700,7.418700,7.418700,0
2019-06-03,7.268500,7.418600,7.268500,7.422900,7.422900,0
2019-06-04,7.415300,7.422700,7.414000,7.415300,7.415300,0
2019-06-05,7.417000,7.418700,7.411000,7.417000,7.417000,0
2019-06-06,7.414300,7.421300,7.410300,7.412800,7.412800,0
2019-06-07,7.418300,7.421200,7.413800,7.418300,7.418300,0
2019-06-10,7.415200,7.420800,7.412700,7.415200,7.415200,0
